Total Rating Counts,Average of Ratings,Max Number of Reviews,Average Number of Reviews,city_sort,interest_sort
4,4.6,10664.0,3297.5,"Eugene,  OR",zoo
4,2.68,760.0,239.0,"Everett,  WA",amusement_park
20,4.29,1433.0,440.8,"Everett,  WA",bar
20,4.51,800.0,229.45,"Everett,  WA",cafe
20,3.22,7456.0,774.1,"Everett,  WA",casino
20,3.82,674.0,376.0,"Everett,  WA",hotel
7,3.99,4280.0,966.86,"Everett,  WA",museum
20,4.04,1244.0,213.25,"Everett,  WA",night_club
20,4.49,1433.0,668.6,"Everett,  WA",restaurant
20,2.71,4227.0,407.05,"Everett,  WA",shopping_mall
20,4.14,113.0,41.05,"Everett,  WA",spa
19,3.82,1630.0,273.0,"Everett,  WA",stadium
8,4.62,10987.0,1487.75,"Everett,  WA",zoo
2,4.3,433.0,426.5,"Fayetteville,  AR",amusement_park
20,4.42,661.0,193.2,"Fayetteville,  AR",bar
20,4.58,656.0,239.55,"Fayetteville,  AR",cafe
5,4.04,3789.0,1606.2,"Fayetteville,  AR",casino
20,4.15,716.0,243.8,"Fayetteville,  AR",hotel
20,3.17,5796.0,495.9,"Fayetteville,  AR",museum
20,4.27,309.0,59.5,"Fayetteville,  AR",night_club
20,4.53,1313.0,461.35,"Fayetteville,  AR",restaurant
15,2.19,2330.0,279.27,"Fayetteville,  AR",shopping_mall
20,3.98,139.0,31.55,"Fayetteville,  AR",spa
4,4.62,683.0,528.25,"Fayetteville,  AR",stadium
3,4.63,1007.0,374.0,"Fayetteville,  AR",zoo
1,4.2,865.0,865.0,"Fort Myers,  FL",amusement_park
20,4.34,2152.0,476.05,"Fort Myers,  FL",bar
20,4.56,1090.0,447.7,"Fort Myers,  FL",cafe
20,3.33,2531.0,224.85,"Fort Myers,  FL",casino
20,3.71,578.0,298.1,"Fort Myers,  FL",hotel
13,4.47,1595.0,281.46,"Fort Myers,  FL",museum
20,4.02,898.0,168.2,"Fort Myers,  FL",night_club
20,4.58,2152.0,707.55,"Fort Myers,  FL",restaurant
20,4.18,4488.0,555.65,"Fort Myers,  FL",shopping_mall
20,4.53,182.0,46.0,"Fort Myers,  FL",spa
18,3.92,2375.0,334.94,"Fort Myers,  FL",stadium
8,4.2,3515.0,903.5,"Fort Myers,  FL",zoo
4,4.62,701.0,279.5,"Fort Wayne,  IN",amusement_park
20,4.4,920.0,372.7,"Fort Wayne,  IN",bar
20,4.58,704.0,326.85,"Fort Wayne,  IN",cafe
20,4.24,6012.0,761.95,"Fort Wayne,  IN",casino
20,4.12,1007.0,400.3,"Fort Wayne,  IN",hotel
15,4.12,267.0,52.6,"Fort Wayne,  IN",museum
20,3.6,408.0,95.05,"Fort Wayne,  IN",night_club
20,4.6,2277.0,737.75,"Fort Wayne,  IN",restaurant
2,3.9,4888.0,2450.5,"Fort Wayne,  IN",shopping_mall
20,4.53,306.0,62.65,"Fort Wayne,  IN",spa
17,3.7,3498.0,413.0,"Fort Wayne,  IN",stadium
1,4.7,3913.0,3913.0,"Fort Wayne,  IN",zoo
20,4.24,16880.0,1713.35,"Fort Worth,  TX",amusement_park
20,4.41,621.0,321.05,"Fort Worth,  TX",bar
20,4.38,1907.0,568.6,"Fort Worth,  TX",cafe
14,3.62,338.0,74.79,"Fort Worth,  TX",casino
20,4.14,3319.0,557.75,"Fort Worth,  TX",hotel
20,4.56,2390.0,527.35,"Fort Worth,  TX",museum
